StationName,Index No.,Basin Office,TypesofStation,District,Latitude,Longitude,Elevation
THANKOT,1015,B,PRECIPITATION,Kathmandu,27.68333333,85.2,1630
SARMATHANG,1016,K,PRECIPITATION,Sindhupalchok,27.95,85.6,2625
DUBACHAUR,1017,K,PRECIPITATION,Sindhupalchok,27.86666667,85.56666667,1550
BAUNEPATI,1018,K,PRECIPITATION,Sindhupalchok,27.78333333,85.56666667,845
MANDAN,1020,K,PRECIPITATION,Kabhre,27.7,85.65,1365
GODAVARI,1022,B,CLIMATOLOGY,Lalitpur,27.58333333,85.4,1400
DOLAL GHAT,1023,K,PRECIPITATION,Kabhre,27.63333333,85.71666667,710
DHULIKHEL,1024,K,CLIMATOLOGY,Kabhre,27.61666667,85.55,1552
DHAP,1025,K,PRECIPITATION,Sindhupalchok,27.91666667,85.63333333,1240
BAHRABISE,1027,K,CLIMATOLOGY,Sindhupalchok,27.78333333,85.9,1220
PACHUWAR GHAT,1028,K,PRECIPITATION,Kabhre,27.56666667,85.75,633
KHUMALTAR,1029,B,AGROMETEOROLOGY,Lalitpur,27.66666667,85.33333333,1350
KATHMANDU AIRPORT,1030,B,AERONATICAL,Kathmandu,27.7,85.36666667,1337
SANKHU,1035,B,PRECIPITATION,Kathmandu,27.75,85.48333333,1449
PANCHKHAL,1036,K,CLIMATOLOGY,Kabhre,27.68333333,85.63333333,865
DHUNIBESI,1038,B,CLIMATOLOGY,Dhading,27.71666667,85.18333333,1085
PANIPOKHARI(KATHMANDU),1039,B,CLIMATOLOGY,Kathmandu,27.73333333,85.33333333,1335
NAGARKOT,1043,B,CLIMATOLOGY,Bhaktapur,27.7,85.51666667,2163
KHOPASI(PANAUTI),1049,K,PRECIPITATION,Kabhre,27.58333333,85.51666667,1517
BHAKTAPUR,1052,B,PRECIPITATION,Bhaktapur,27.66666667,85.41666667,1330
THAMACHIT,1054,N,PRECIPITATION,Rasuwa,28.16666667,85.31666667,1847
DHUNCHE,1055,N,CLIMATOLOGY,Rasuwa,28.1,85.3,1982
PANSAYAKHOLA,1057,N,PRECIPITATION,Nuwakot,28.01666667,85.11666667,1240
TARKE GHYANG,1058,K,PRECIPITATION,Sindhupalchok,28,85.55,2480
CHANGU HARAYAN,1059,B,CLIMATOLOGY,Bhaktapur,27.7,85.41666667,1543
CHAPA GAUN,1060,B,PRECIPITATION,Lalitpur,27.6,85.33333333,1448
SANGACHOK,1062,K,PRECIPITATION,Sindhupalchok,27.7,85.71666667,1327
THOKARPA,1063,K,PRECIPITATION,Sindhupalchok,27.7,85.78333333,1750
BUDDHANILAKANTHA,1071,B,CLIMATOLOGY,Kathmandu,27.78333333,85.36666667,1350
KHOKANA,1073,B,CLIMATOLOGY,Lalitpur,27.63333333,85.28333333,1212
SUNDARIJAL,1074,B,PRECIPITATION,Kathmandu,27.76666667,85.41666667,1490
LELE,1075,B,PRECIPITATION,Lalitpur,27.58333333,85.28333333,1590
NAIKAP,1076,B,PRECIPITATION,Kathmandu,27.68333333,85.25,1520
SUNDARIJAL,1077,B,PRECIPITATION,Kathmandu,27.75,85.41666667,1360
DHAP,1078,K,PRECIPITATION,Sindhupalchok,27.9,85.63333333,1310
NAGARJUN,1079,B,PRECIPITATION,Kathmandu,27.75,85.25,1690
TIKATHALI,1080,B,PRECIPITATION,Lalitpur,27.65,85.35,1341
JETPURPHEDHI,1081,B,PRECIPITATION,Kathmandu,27.78333333,85.28333333,1320
NANGKHEL,1082,B,PRECIPITATION,Bhaktapur,27.65,85.46666667,1428
NAGDAHA,1101,K,PRECIPITATION,Dolkha,27.68333333,86.1,850
CHARIKOT,1102,K,PRECIPITATION,Dolkha,27.66666667,86.05,1940
JIRI,1103,K,AGROMETEOROLOGY,Dolkha,27.63333333,86.23333333,2003
MELUNG,1104,K,PRECIPITATION,Dolkha,27.51666667,86.05,1536
SINDHULI GADHI,1107,K,CLIMATOLOGY,Sindhuli,27.28333333,85.96666667,1463
BAHUN TILPUNG,1108,K,PRECIPITATION,Sindhuli,27.18333333,86.16666667,1417
PATTHARKOT(EAST),1109,B,PRECIPITATION,Sarlahi,27.08333333,85.66666667,275
TULSI,1110,B,PRECIPITATION,Dhanusa,27.03333333,85.91666667,457
JANAKPUR AIRPORT,1111,B,CLIMATOLOGY,Dhanusa,26.71666667,85.96666667,90
CHISAPANI BAZAR,1112,B,PRECIPITATION,Dhanusa,26.91666667,86.16666667,165
NEPALTHOK,1115,K,PRECIPITATION,Sindhuli,27.45,85.81666667,1098
HARIHARPUR GADHI VALLEY,1117,B,PRECIPITATION,Sindhuli,27.33333333,85.5,250
MANUSMARA,1118,B,CLIMATOLOGY,Sarlahi,26.88333333,85.41666667,100
GAUSALA,1119,B,PRECIPITATION,Mahottari,26.88333333,85.78333333,200
MALANGWA,1120,B,PRECIPITATION,Sarlahi,26.86666667,85.56666667,150
KARMAIYA,1121,B,CLIMATOLOGY,Sarlahi,27.11666667,85.46666667,131
JALESORE,1122,B,CLIMATOLOGY,Mahottari,26.65,85.78333333,172
MANTHALI,1123,K,PRECIPITATION,Ramechhap,27.46666667,86.08333333,495
KABRE,1124,K,AGROMETEOROLOGY,Dolkha,27.63333333,86.13333333,1755
CHAURIKHARK,1202,K,PRECIPITATION,Solukhumbu,27.7,86.71666667,2619
PAKARNAS,1203,K,PRECIPITATION,Solukhumbu,27.43333333,86.56666667,1982
AISEALUKHARK,1204,K,PRECIPITATION,Khotang,27.35,86.75,2143
OKHALDHUNGA,1206,K,SYNOPTIC,Okhaldhunga,27.31666667,86.5,1720
MANE BHANJYANG,1207,K,PRECIPITATION,Okhaldhunga,27.48333333,86.41666667,1576
KURULE GHAT,1210,K,PRECIPITATION,Khotang,27.13333333,86.43333333,497
KHOTANG BAZAR,1211,K,PRECIPITATION,Khotang,27.03333333,86.83333333,1295
PHATEPUR,1212,K,CLIMATOLOGY,Saptari,26.73333333,86.93333333,100
UDAYAPUR GADHI,1213,B,CLIMATOLOGY,Udayapur,26.93333333,86.51666667,1175
LAHAN,1215,B,AGROMETEOROLOGY,Siraha,26.73333333,86.43333333,138
SIRAHA,1216,B,PRECIPITATION,Siraha,26.65,86.21666667,102
SALLERI,1219,K,PRECIPITATION,Solukhumbu,27.5,86.58333333,2378
DIKTEL,1222,K,PRECIPITATION,Khotang,27.21666667,86.8,1623
RAJBIRAJ,1223,K,CLIMATOLOGY,Saptari,26.55,86.75,91
SIRWA,1224,K,PRECIPITATION,Solukhumbu,27.55,86.38333333,1662
BARMAJHIYA,1226,K,PRECIPITATION,Saptari,26.6,86.9,85
GAIGHAT,1227,K,PRECIPITATION,Udayapur,26.78333333,86.71666667,152
NUM,1301,K,CLIMATOLOGY,Sankhuwasabha,27.55,87.28333333,1497
CHAINPUR (EAST),1303,K,CLIMATOLOGY,Sankhuwasabha,27.28333333,87.33333333,1329
PAKHRIBAS,1304,K,AGROMETEOROLOGY,Dhankuta,27.05,87.28333333,1680
LEGUWA GHAT,1305,K,PRECIPITATION,Dhankuta,27.13333333,87.28333333,410
MUNGA,1306,K,PRECIPITATION,Dhankuta,27.03333333,87.23333333,1317
DHANKUTA,1307,K,SYNOPTIC,Dhankuta,26.98333333,87.35,1210
MUL GHAT,1308,K,PRECIPITATION,Dhankuta,26.93333333,87.33333333,365
TRIBENI,1309,K,PRECIPITATION,Dhankuta,26.93333333,87.15,143
DHARAN BAZAR,1311,K,CLIMATOLOGY,Sunsari,26.81666667,87.28333333,444
HARAINCHA,1312,K,PRECIPITATION,Morang,26.61666667,87.38333333,152
TERHATHUM,1314,K,CLIMATOLOGY,Terhathum,27.13333333,87.55,1633
CHATARA,1316,K,PRECIPITATION,Sunsari,26.81666667,87.16666667,183
CHEPUWA,1317,K,PRECIPITATION,Sankhuwasabha,27.76666667,87.41666667,2590
BIRATNAGAR AIRPOART,1319,K,AERONATICAL,Morang,26.48333333,87.26666667,72
TARAHARA,1320,K,AGROMETEOROLOGY,Sunsari,26.7,87.26666667,200
TUMLINGTAR,1321,K,PRECIPITATION,Sankhuwasabha,27.28333333,87.21666667,303
MACHUWAGHAT,1322,K,PRECIPITATION,Dhankuta,26.96666667,87.16666667,158
DINGLA,1325,K,PRECIPITATION,Bhojpur,27.36666667,87.15,1190
LETANG,1326,K,PRECIPITATION,Morang,26.73333333,87.5,250
KHADBARI,1327,K,CLIMATOLOGY,Sankhuwasabha,27.35,87.2,1170
LUNGTHUNG,1403,K,PRECIPITATION,Taplejung,27.55,87.78333333,1780
TAPLEJUNG,1405,K,SYNOPTIC,Taplejung,27.35,87.66666667,1732
MEMENG JAGAT,1406,K,PRECIPITATION,Panchther,27.2,87.93333333,1830
ILAM TEA ESTATE,1407,K,AGROMETEOROLOGY,Ilam,26.91666667,87.9,1300
DAMAK,1408,K,PRECIPITATION,Jhapa,26.66666667,87.7,163
ANARMANI BIRTA,1409,K,PRECIPITATION,Jhapa,26.63333333,87.98333333,122
HIMALI GAUN,1410,K,PRECIPITATION,Ilam,26.88333333,88.03333333,1654
CHANDRA GADHI,1412,K,PRECIPITATION,Jhapa,26.56666667,88.05,120
SANISCHARE,1415,K,PRECIPITATION,Jhapa,26.68333333,87.96666667,168
KANYAM TEA ESTATE,1416,K,CLIMATOLOGY,Ilam,26.86666667,88.06666667,1678
PHIDIM (PANCHTHER),1419,K,CLIMATOLOGY,Panchther,27.15,87.75,1205
DOVAN,1420,K,PRECIPITATION,Taplejung,27.35,87.6,763
GAIDA (KANKAI),1421,K,AGROMETEOROLOGY,Jhapa,26.58333333,87.9,143
KECHANA,1422,K,CLIMATOLOGY,Jhapa,26.4,88.01666667,60
,,,,,,0,
